Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
12,WestCoast,502,Rural (Incl.some Off Shore Islands),Rural,585314,Taramakau,250,1,0.8
4,BayofPlenty,502,Rural (Incl.some Off Shore Islands),Rural,538832,Tarawera,1470,1,0.1
2,Auckland,2,Northern Auckland Zone,Main,508420,Target Road,7260,18,0.5
5,Gisborne,502,Rural (Incl.some Off Shore Islands),Rural,543601,Tarndale-Rakauroa,1540,1,0.1
8,Manawatu-Wanganui,220,Taumarunui,Minor,532901,Tarrangower,1190,7,1.1
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,541334,Tatua,330,4,2.3
3,Waikato,103,Taupo,Secondary,541730,Tauhara,4430,34,1.5
2,Auckland,502,Rural (Incl.some Off Shore Islands),Rural,506613,Tauhoa-Puhoi,4890,4,0.2
8,Manawatu-Wanganui,220,Taumarunui,Minor,532902,Taumarunui Central,2310,26,2.2
2,Auckland,3,Western Auckland Zone,Main,513701,Taupaki,950,0,
3,Waikato,6,Hamilton Zone,Main,527112,Taupiri Community,470,1,0.4
3,Waikato,103,Taupo,Secondary,541720,Taupo Central,3900,90,4.4
3,Waikato,103,Taupo,Secondary,541315,Taupo East,10,2,38.2
4,BayofPlenty,9,Tauranga,Main,538201,Tauranga Central,2270,167,14.1
4,BayofPlenty,507,Inlet-in TA but not in Urban Area,Rural,536822,Tauranga City-Marinas,80,0,
4,BayofPlenty,9,Tauranga,Main,538101,Tauranga Hospital,2020,42,4
4,BayofPlenty,9,Tauranga,Main,538102,Tauranga South,4530,32,1.4
9,Wellington,20,Wellington Zone,Main,572600,Tawa Central,4600,20,0.8
9,Wellington,20,Wellington Zone,Main,572500,Tawa South,3730,8,0.4
9,Wellington,18,Lower Hutt Zone,Main,568101,Tawhai,3460,5,0.3
8,Manawatu-Wanganui,15,Wanganui,Main,556100,Tawhero,1920,6,0.6
7,Taranaki,105,Hawera,Secondary,554113,Tawhiti,820,0,
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,526702,Te Akau,1010,2,0.4
15,Southland,298,Te Anau,Minor,612400,Te Anau,2000,5,0.5
3,Waikato,230,Te Aroha,Minor,534800,Te Aroha,4200,17,0.8
2,Auckland,3,Western Auckland Zone,Main,512300,Te Atatu Central,5250,8,0.3
3,Waikato,8,Te Awamutu Zone,Main,531002,Te Awamutu Central,3560,21,1.1
3,Waikato,8,Te Awamutu Zone,Main,531003,Te Awamutu East,3070,24,1.5
3,Waikato,8,Te Awamutu Zone,Main,531004,Te Awamutu South,3140,26,1.6
3,Waikato,8,Te Awamutu Zone,Main,531001,Te Awamutu West,1370,2,0.3
5,Gisborne,11,Gisborne,Main,544300,Te Hapara,4710,45,1.8
1,Northland,1,Whangarei,Main,502003,Te Hihi,1300,1,0.1
9,Wellington,501,Rural Centre,Rural,564023,Te Horo,830,0,
4,BayofPlenty,501,Rural Centre,Rural,542901,Te Kaha,410,4,1.9
9,Wellington,20,Wellington Zone,Main,574302,Te Kainga,4020,0,
5,Gisborne,501,Rural Centre,Rural,543602,Te Karaka,540,4,1.4
3,Waikato,304,Te Kauwhata,Minor,526900,Te Kauwhata,1630,12,1.4
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,531303,Te Kawa,500,0,
1,Northland,501,Rural Centre,Rural,504400,Te Kopuru,510,3,1.1
3,Waikato,6,Hamilton Zone,Main,527912,Te Kowhai,1670,0,
3,Waikato,219,Te Kuiti,Minor,532000,Te Kuiti,4560,24,1
9,Wellington,17,Upper Hutt Zone,Main,566500,Te Marua,1180,1,0.2
6,Hawke'sBay,13,Hastings Zone,Main,548831,Te Mata,3790,35,1.8
6,Hawke'sBay,13,Hastings Zone,Main,548833,Te Mata Hills,1070,1,0.2
4,BayofPlenty,9,Tauranga,Main,536832,Te Maunga,5060,16,0.6
8,Manawatu-Wanganui,502,Rural (Incl.some Off Shore Islands),Rural,541502,Te More,0,0,
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,618300,Te Motu Island,0,0,
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,526603,Te Pahu,1380,0,
2,Auckland,4,Central Auckland Zone,Main,520000,Te Papapa,3730,38,1.9
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,535231,Te Poi,850,2,0.4
4,BayofPlenty,235,Te Puke Community,Minor,538502,Te Puke East,4740,32,1.3
4,BayofPlenty,235,Te Puke Community,Minor,538501,Te Puke West,3180,12,0.7
4,BayofPlenty,9,Tauranga,Main,536503,Te Puna,2660,1,0.1
3,Waikato,501,Rural Centre,Rural,533604,Te Puru-Thornton Bay,890,1,0.2
